Date,Open,High,Low,Close,Adj Close,Volume
2001-09-03,27.000000,27.150000,26.799999,26.975000,15.845961,24352
2001-09-04,27.049999,28.325001,27.049999,28.299999,16.624308,18720
2001-09-05,28.450001,28.475000,28.100000,28.225000,16.580252,19276
2001-09-06,28.500000,28.625000,27.975000,28.299999,16.624308,23016
2001-09-07,28.000000,28.750000,27.750000,27.950001,16.418701,9068
2001-09-10,28.000000,28.200001,27.500000,28.025000,16.462763,6178
2001-09-11,28.000000,29.375000,27.500000,28.049999,16.477448,24292
2001-09-12,27.500000,28.049999,27.500000,28.049999,16.477448,400
2001-09-13,27.500000,14.025000,28.049999,28.049999,16.477448,0
2001-09-14,null,null,null,null,null,null
2001-09-17,27.049999,27.500000,26.250000,26.625000,15.640356,30096
2001-09-18,26.424999,26.625000,25.750000,25.924999,15.229153,22436
2001-09-19,25.575001,25.875000,23.605000,23.605000,13.866319,31180
2001-09-20,23.650000,24.055000,23.070000,24.025000,14.113033,15356
2001-09-21,24.400000,25.000000,23.090000,25.000000,14.685790,33656
2001-09-24,25.375000,26.174999,24.190001,25.100000,14.744523,61028
2001-09-25,24.250000,24.480000,23.049999,23.450001,13.775263,26184
2001-09-26,22.760000,23.000000,22.450001,22.680000,13.322945,21608
2001-09-27,22.900000,23.105000,22.370001,22.495001,13.214265,23628
2001-09-28,null,null,null,null,null,null
2001-10-01,25.100000,25.350000,23.549999,23.900000,14.039606,36334
2001-10-02,24.090000,24.299999,23.655001,24.200001,14.215835,35716
2001-10-03,24.250000,24.405001,22.674999,23.750000,13.951497,61616
2001-10-04,24.125000,25.049999,23.820000,24.950001,14.656412,19104
2001-10-05,24.799999,24.930000,23.980000,24.305000,14.277517,28128
2001-10-08,24.750000,24.875000,23.834999,24.840000,14.591801,23744
2001-10-09,24.350000,24.750000,24.260000,24.730000,14.527176,37552
2001-10-10,25.075001,25.775000,24.820000,25.674999,15.082302,25804
2001-10-11,26.549999,26.799999,25.424999,25.650000,15.067610,24884
2001-10-12,25.850000,25.900000,25.400000,25.674999,15.082302,22844
