Date,Open,High,Low,Close,Adj Close,Volume
2000-12-13,28.110001,28.110001,28.110001,28.110001,28.110001,1057335
2000-12-14,28.311001,28.311001,28.311001,28.311001,28.311001,1200335
2000-12-15,28.577999,28.577999,28.577999,28.577999,28.577999,1755571
2000-12-18,28.509001,28.509001,28.509001,28.509001,28.509001,264979
2000-12-19,28.577999,28.577999,28.577999,28.577999,28.577999,4117819
2000-12-20,28.443001,28.443001,28.443001,28.443001,28.443001,3048697
2000-12-21,26.913000,26.913000,26.913000,26.913000,26.913000,1145232
2000-12-22,26.844000,26.844000,26.844000,26.844000,26.844000,327579
2000-12-25,23.813999,23.813999,23.813999,23.813999,23.813999,0
2000-12-26,23.813999,23.813999,23.813999,23.813999,23.813999,0
2000-12-27,26.979000,26.979000,26.979000,26.979000,26.979000,86026
2000-12-28,27.246000,27.246000,27.246000,27.246000,27.246000,251553
2000-12-29,27.378000,27.378000,27.378000,27.378000,27.378000,36993
2001-01-01,24.285000,24.285000,24.285000,24.285000,24.285000,0
2001-01-02,32.574001,32.574001,32.574001,32.574001,32.574001,104849
2001-01-03,32.507999,32.507999,32.507999,32.507999,32.507999,713896
2001-01-04,25.889999,25.889999,25.889999,25.889999,25.889999,455902
2001-01-05,37.236000,37.236000,37.236000,37.236000,37.236000,4090956
2001-01-08,28.419001,28.419001,28.419001,28.419001,28.419001,510199
2001-01-09,28.419001,28.419001,28.419001,28.419001,28.419001,3247207
2001-01-10,31.641001,31.641001,31.641001,31.641001,31.641001,583742
2001-01-11,38.168999,38.168999,38.168999,38.168999,38.168999,2060954
2001-01-12,28.535999,28.535999,28.535999,28.535999,28.535999,414512
2001-01-15,32.241001,32.241001,32.241001,32.241001,32.241001,304173
2001-01-16,32.241001,32.241001,32.241001,32.241001,32.241001,201686
2001-01-17,32.241001,32.241001,32.241001,32.241001,32.241001,5214039
2001-01-18,34.506001,34.506001,34.506001,34.506001,34.506001,3092484
2001-01-19,35.438999,35.438999,35.438999,35.438999,35.438999,13129759
2001-01-22,35.637001,35.637001,35.637001,35.637001,35.637001,1081312
2001-01-23,34.971001,34.971001,34.971001,34.971001,34.971001,2006398
2001-01-24,34.106998,34.106998,34.106998,34.106998,34.106998,6290838
2001-01-25,34.037998,34.037998,34.037998,34.037998,34.037998,1857698
2001-01-26,33.372002,33.372002,33.372002,33.372002,33.372002,13421809
2001-01-29,33.372002,33.372002,33.372002,33.372002,33.372002,241553
2001-01-30,33.372002,33.372002,33.372002,33.372002,33.372002,61239
2001-01-31,32.639999,32.639999,32.639999,32.639999,32.639999,121346
2001-02-01,27.378000,27.378000,27.378000,27.378000,27.378000,302513
2001-02-02,32.306999,32.306999,32.306999,32.306999,32.306999,709146
2001-02-05,37.502998,37.502998,37.502998,37.502998,37.502998,1507605
2001-02-06,28.362000,28.362000,28.362000,28.362000,28.362000,1140789
2001-02-07,45.165001,45.165001,45.165001,45.165001,45.165001,3640270
2001-02-08,47.895000,47.895000,47.895000,47.895000,47.895000,509089
2001-02-09,30.009001,30.009001,30.009001,30.009001,30.009001,384779
2001-02-12,30.009001,30.009001,30.009001,30.009001,30.009001,2454191
2001-02-13,34.037998,34.037998,34.037998,34.037998,34.037998,3608193
2001-02-14,34.238998,34.238998,34.238998,34.238998,34.238998,964459
2001-02-15,34.506001,34.506001,34.506001,34.506001,34.506001,804286
2001-02-16,34.971001,34.971001,34.971001,34.971001,34.971001,2146704
2001-02-19,36.237000,36.237000,36.237000,36.237000,36.237000,2870610
2001-02-20,36.237000,36.237000,36.237000,36.237000,36.237000,505552
2001-02-21,35.771999,35.771999,35.771999,35.771999,35.771999,1349815
2001-02-22,35.771999,35.771999,35.771999,35.771999,35.771999,274929
2001-02-23,35.771999,35.771999,35.771999,35.771999,35.771999,418822
2001-02-26,35.637001,35.637001,35.637001,35.637001,35.637001,5395828
2001-02-27,34.839001,34.839001,34.839001,34.839001,34.839001,441192
2001-02-28,33.972000,33.972000,33.972000,33.972000,33.972000,511012
2001-03-01,27.912001,27.912001,27.912001,27.912001,27.912001,1668745
2001-03-02,27.830999,27.830999,27.830999,27.830999,27.830999,1725701
2001-03-05,37.502998,37.502998,37.502998,37.502998,37.502998,428689
2001-03-06,29.655001,29.655001,29.655001,29.655001,29.655001,7979723
2001-03-07,44.964001,44.964001,44.964001,44.964001,44.964001,1850351
2001-03-08,46.230000,46.230000,46.230000,46.230000,46.230000,607806
2001-03-09,47.763000,47.763000,47.763000,47.763000,47.763000,1137262
2001-03-12,35.771999,35.771999,35.771999,35.771999,35.771999,1215345
2001-03-13,32.973000,32.973000,32.973000,32.973000,32.973000,1234215
2001-03-14,33.174000,33.174000,33.174000,33.174000,33.174000,1013449
2001-03-15,33.240002,33.240002,33.240002,33.240002,33.240002,453976
2001-03-16,35.637001,35.637001,35.637001,35.637001,35.637001,7067787
2001-03-19,35.706001,35.706001,35.706001,35.706001,35.706001,2635627
2001-03-20,34.971001,34.971001,34.971001,34.971001,34.971001,1760128
2001-03-21,33.773998,33.773998,33.773998,33.773998,33.773998,1954731
2001-03-22,32.706001,32.706001,32.706001,32.706001,32.706001,1266175
2001-03-23,32.841000,32.841000,32.841000,32.841000,32.841000,919949
2001-03-26,33.507000,33.507000,33.507000,33.507000,33.507000,290076
2001-03-27,34.703999,34.703999,34.703999,34.703999,34.703999,13537342
2001-03-28,35.970001,35.970001,35.970001,35.970001,35.970001,1894048
2001-03-29,35.637001,35.637001,35.637001,35.637001,35.637001,756469
2001-03-30,35.637001,35.637001,35.637001,35.637001,35.637001,710846
2001-04-02,31.479000,31.479000,31.479000,31.479000,31.479000,773592
2001-04-03,30.537001,30.537001,30.537001,30.537001,30.537001,1354585
2001-04-04,34.305000,34.305000,34.305000,34.305000,34.305000,3676970
2001-04-05,38.168999,38.168999,38.168999,38.168999,38.168999,296386
2001-04-06,44.763000,44.763000,44.763000,44.763000,44.763000,1870645
2001-04-09,48.161999,48.161999,48.161999,48.161999,48.161999,9283995
2001-04-10,34.106998,34.106998,34.106998,34.106998,34.106998,1957065
2001-04-11,29.892000,29.892000,29.892000,29.892000,29.892000,915999
2001-04-12,35.040001,35.040001,35.040001,35.040001,35.040001,2487381
2001-04-13,29.604000,29.604000,29.604000,29.604000,29.604000,0
2001-04-16,29.604000,29.604000,29.604000,29.604000,29.604000,0
2001-04-17,33.372002,33.372002,33.372002,33.372002,33.372002,206463
2001-04-18,33.306000,33.306000,33.306000,33.306000,33.306000,755229
2001-04-19,33.441002,33.441002,33.441002,33.441002,33.441002,1100949
2001-04-20,34.772999,34.772999,34.772999,34.772999,34.772999,744062
2001-04-23,34.772999,34.772999,34.772999,34.772999,34.772999,290253
2001-04-24,34.772999,34.772999,34.772999,34.772999,34.772999,193436
2001-04-25,35.040001,35.040001,35.040001,35.040001,35.040001,189039
2001-04-26,35.838001,35.838001,35.838001,35.838001,35.838001,264723
2001-04-27,35.903999,35.903999,35.903999,35.903999,35.903999,465036
2001-04-30,35.903999,35.903999,35.903999,35.903999,35.903999,676199
2001-05-01,29.309999,29.309999,29.309999,29.309999,29.309999,769419
2001-05-02,31.974001,31.974001,31.974001,31.974001,31.974001,2970794
2001-05-03,31.509001,31.509001,31.509001,31.509001,31.509001,776102
2001-05-04,34.305000,34.305000,34.305000,34.305000,34.305000,1795361
2001-05-07,44.363998,44.363998,44.363998,44.363998,44.363998,205946
2001-05-08,33.834000,33.834000,33.834000,33.834000,33.834000,342663
2001-05-09,48.561001,48.561001,48.561001,48.561001,48.561001,377943
2001-05-10,34.904999,34.904999,34.904999,34.904999,34.904999,1380028
2001-05-11,36.705002,36.705002,36.705002,36.705002,36.705002,1894418
2001-05-14,37.967999,37.967999,37.967999,37.967999,37.967999,130516
2001-05-15,37.967999,37.967999,37.967999,37.967999,37.967999,303779
2001-05-16,37.967999,37.967999,37.967999,37.967999,37.967999,707036
2001-05-17,39.303001,39.303001,39.303001,39.303001,39.303001,557422
2001-05-18,40.233002,40.233002,40.233002,40.233002,40.233002,842999
2001-05-21,41.034000,41.034000,41.034000,41.034000,41.034000,4281683
2001-05-22,41.633999,41.633999,41.633999,41.633999,41.633999,1996348
2001-05-23,41.901001,41.901001,41.901001,41.901001,41.901001,1812401
2001-05-24,41.901001,41.901001,41.901001,41.901001,41.901001,748112
2001-05-25,41.367001,41.367001,41.367001,41.367001,41.367001,4114286
2001-05-28,36.695999,36.695999,36.695999,36.695999,36.695999,0
